ID,predicted
0,0.99999
1,0.99999
2,0.99999
3,0.99999
4,0.99999
5,0.99999
6,0.99999
7,0.99999
8,0.99999
9,0.99999
10,0.99999
11,0.99999
12,0.99999
13,0.99999
14,0.99999
15,0.99999
16,0.99999
17,0.99999
18,0.99999
19,0.99999
20,0.99999
21,0.99999
22,0.99999
23,0.99999
24,0.99999
25,0.99999
26,0.99999
27,0.99999
28,0.99999
29,0.99999
30,0.99999
31,0.99999
32,0.99999
33,0.99999
34,0.99999
35,0.99999
36,0.99999
37,0.99999
38,0.99999
39,0.99999
40,0.99999
41,0.99999
42,0.99999
43,0.99999
44,0.99999
45,0.99999
46,0.99999
47,0.99999
48,0.99999
49,0.99999
50,0.99999
51,0.99999
52,0.99999
53,0.99999
54,0.99999
55,0.99999
56,0.99999
57,0.99999
58,0.99999
59,0.99999
60,0.99999
61,0.99999
62,0.99999
63,0.99999
64,0.99999
65,0.99999
66,0.99999
67,0.99999
68,0.99999
69,0.99999
70,0.99999
71,0.99999
72,0.99999
73,0.99999
74,0.99999
75,0.99999
76,0.99999
77,0.99999
78,0.99999
79,0.99999
80,0.99999
81,0.99999
82,0.99999
83,0.99999
84,0.99999
85,0.99999
86,0.99999
87,0.99999
88,0.99999
89,0.99999
90,0.99999
91,0.99999
92,0.99999
93,0.99999
94,0.99999
95,0.99999
96,0.99999
97,0.99999
98,0.99999
99,0.99999
100,0.99999
101,0.99999
102,0.99999
103,0.99999
104,0.99999
105,0.99999
106,0.99999
107,0.99999
108,0.99999
109,0.99999
110,0.99999
111,0.99999
112,0.99999
113,0.99999
114,0.99999
115,0.99999
116,0.99999
117,0.99999
118,0.99999
119,0.99999
120,0.99999
121,0.99999
122,0.99999
123,0.99999
124,0.99999
125,0.99999
126,0.99999
127,0.99999
128,0.99999
129,0.99999
130,0.99999
131,0.99999
132,0.99999
133,0.99999
134,0.99999
135,0.99999
136,0.99999
137,0.99999
138,0.99999
139,0.99999
140,0.99999
141,0.99999
142,0.99999
143,0.99999
144,0.99999
145,0.99999
146,0.99999
147,0.99999
148,0.99999
149,0.99999
150,0.99999
151,0.99999
152,0.99999
153,0.99999
154,0.99999
155,0.99999
156,0.99999
157,0.99999
158,0.99999
159,0.99999
160,0.99999
161,0.99999
162,0.99999
163,0.99999
164,0.99999
165,0.99999
166,0.99999
167,0.99999
168,0.99999
169,0.99999
170,0.99999
171,0.99999
172,0.99999
173,0.99999
174,0.99999
175,0.99999
176,0.99999
177,0.99999
178,0.99999
179,0.99999
180,0.99999
181,0.99999
182,0.99999
183,0.99999
184,0.99999
185,0.99999
186,0.99999
187,0.99999
188,0.99999
189,0.99999
190,0.99999
191,0.99999
192,0.99999
193,0.99999
194,0.99999
195,0.99999
196,0.99999
197,0.99999
198,0.99999
199,0.99999
200,0.99999
201,0.99999
202,0.99999
203,0.99999
204,0.99999
205,0.99999
206,0.99999
207,0.99999
208,0.99999
209,0.99999
210,0.99999
211,0.99999
212,0.99999
213,0.99999
214,0.99999
215,0.99999
216,0.99999
217,0.99999
218,0.99999
219,0.99999
220,0.99999
221,0.99999
222,0.99999
223,0.99999
224,0.99999
225,0.99999
226,0.99999
227,0.99999
228,0.99999
229,0.99999
230,0.99999
231,0.99999
232,0.99999
233,0.99999
234,0.99999
235,0.99999
236,0.99999
237,0.99999
238,0.99999
239,0.99999
