x1,x2,y
-0.260233709,2.7678165389999996,0
3.466189965,6.054691196,1
-2.036224431,4.4919022889999995,0
2.434426391,6.638656056,1
-0.541337954,3.210245743,0
1.8734063779999999,8.177617757,1
-2.972131604,2.39259552,0
2.394965399,5.7235598549999995,1
1.5141417190000002,7.668679384,1
0.5636218769999997,7.673720278999999,1
2.458662046,6.210245743,1
-2.693311169,3.414873352,0
4.958882483,2.513147474,1
-0.19747776999999989,5.340615316,1
2.717205643,6.351128009,1
-0.665287933,3.517671642,0
0.11543363599999999,0.540752,0
1.63776492,7.512789896,1
2.535947472,6.034393211,1
-1.082144778,2.59685691,0
-0.635644121,4.848118591,0
-0.979170729,4.36520111,0
-2.84200032,4.494380798,0
-0.714752663,4.510968473999999,0
1.574652911,1.063995438,0
2.251012737,4.378819404,1
2.681824246,7.062246447,1
3.486667209,3.6811075840000003,1
-1.5153562569999999,2.352267989,0
-1.4858582809999998,4.668679384,0
1.780349708,7.723481312,1
-0.234954608,5.111583412,0
-0.643113602,1.3971999430000002,0
1.0718542030000002,7.7540439569999995,1
-1.784466904,2.750448371,0
-1.476829261,0.7478527229999999,0
-0.820339335,1.835422721,0
1.2167093919999998,9.02468275,1
2.710656649,5.432596159,1
-1.219650292,4.723481312,0
2.334712067,6.517671642,1
-1.070296127,5.342192664,0
0.4272678769999998,7.0965909730000005,1
-0.48983904799999994,2.618511157,0
-1.6662128180000002,4.282080017,0
-0.338671286,3.310499946,0
2.661328714,6.310499946,1
-0.687990973,3.3904455319999998,0
0.925675552,7.243861078,1
-0.752474601,4.421789922,0
-2.277195087,2.38193584,0
1.151151918,5.634886594,1
2.146020015,4.9742944950000005,1
2.247525399,7.421789922,1
3.115433636,3.540752,1
2.49286411,3.65675039,1
0.722804913,5.381935840000001,1
-2.306218216,1.292485584,0
2.70947456,6.5153706410000005,1
-3.2378243230000003,4.278912677,0
2.560550022,6.853693815,1
1.9588824830000002,-0.486852526,0
-0.29052544,3.515370641,0
-2.572732123,4.0965909730000005,0
3.390449794,8.359098979999999,1
1.917855222,5.59685691,1
-0.708143029,2.279079385,0
2.312009027,6.390445531999999,1
1.3166831330000002,8.224202107,1
-0.44766439999999985,6.101749684,1
-1.16786821,3.247191017,0
-3.19747777,2.340615316,0
2.034949465,5.084508554,1
2.179660665,4.8354227210000005,1
2.382019474,7.883251593,1
0.9223753640000001,4.019163786,1
-2.077624636,1.019163786,0
0.46372410099999994,7.525141334,1
1.724335343,6.595207746,1
-0.9771570740000001,4.461048277,0
-1.807330394,1.339857328,0
-0.282794357,3.351128009,0
1.066872985,2.8493462110000003,0
3.351309008,4.252191267,1
-2.303994844,2.631248559,0
-2.074324448,4.243861078,0
-1.1265936220000001,5.177617757,0
-0.8519671440000001,2.1713344080000003,0
1.4846437430000001,5.352267989,1
3.282301271,3.37508572,1
2.747208611,6.422764516000001,1
2.043864228,6.119425938,1
0.282301271,0.37508572,0
-1.4934957030000002,4.062816314,0
2.020829271,7.36520111,1
1.523170739,3.747852723,1
2.148032856,5.171334408,1
2.356886398,4.397199943,1
2.287809376,6.800447968,1
2.364355879,7.848118591,1
-2.536275899,4.525141334,0
-0.252791389,3.4227645160000004,0
1.448394019,7.892695122,1
2.8962764500000002,8.470631075,1
-1.848848082,2.634886594,0
-2.660221625,5.661882437,0
2.022842926,7.461048277,1
-0.748987263,1.3788194040000001,0
-0.318175754,4.062246447,0
2.765045392,8.111583412,1
-2.221779806,4.525382355,0
-1.36223508,4.512789896,0
0.7782201940000002,7.525382355,1
1.3337871819999998,7.282080017,1
4.066872985,5.849346211,1
-0.565573609,3.6386560560000003,0
0.674068625,5.20330323,0
0.543351704,5.428153712,1
0.33977837499999985,8.661882437,1
-1.6833168669999998,5.224202107,0
-1.862891125,4.8897906760000005,0
-1.283455309,1.886953916,0
-1.9281457969999998,4.7540439569999995,0
0.02786839600000013,5.39259552,1
2.285247337,7.510968473999999,1
-1.275664657,3.5952077460000003,0
0.364563467,7.1512834419999995,1
1.192669606,4.339857328,1
1.5065042969999998,7.062816314,1
-3.4476644,3.1017496839999996,0
-0.421292237,3.01051731,0
2.739766291,5.767816539,1
1.137108875,7.8897906760000005,1
2.510160952,5.618511157,1
-0.023357388999999618,4.566475079,1
-0.38103891100000004,3.50009683,0
-1.551605981,4.892695122,0
2.560827329,8.407912417,1
0.516668966,2.830401675,0
-0.49912801700000003,2.241821014,0
-0.956135772,3.119425938,0
-0.439172671,5.407912417,0
1.9216481140000001,8.039087082,1
3.674068625,8.20330323,1
-2.4363781230000003,4.673720278999999,0
1.704824736,6.503866193,1
3.516668966,5.830401675,1
0.359871179,1.629356465,0
1.138156699,8.584662505,1
-1.687496621,1.8023829830000002,0
1.716544691,4.8869539159999995,1
1.312503379,4.802382983,1
1.785256234,5.078306754,1
0.7373597759999999,1.41935492,0
2.578707763,6.01051731,1
2.460731361,6.183641065,1
-3.0233573889999996,1.5664750790000002,0
-2.635436533,4.1512834419999995,0
-0.539268639,3.183641065,0
-0.6050346010000001,2.723559855,0
0.693781784,4.292485584,1
0.3066888310000002,6.414873352,1
-1.067782384,3.328763485,0
0.486667209,0.681107584,0
0.466189965,3.0546911960000003,0
-0.50713589,0.65675039,0
-1.861843301,5.584662505,0
-0.10372355,5.470631075,0
4.574652911,4.063995438,1
-1.0783518859999999,5.039087082,0
2.618961089,6.50009683,1
0.1579996800000001,7.494380798,1
2.291856971,5.279079385,1
3.3598711789999998,4.629356465,1
2.500871983,5.241821014,1
-1.7832906080000002,6.02468275,0
2.999311058,8.389704212000002,1
1.932217616,6.328763485,1
0.39044979399999996,5.35909898,0
-2.456648296,2.428153712,0
-1.295175264,3.503866193,0
-0.7121906240000001,3.8004479680000003,0
-0.361062658,2.043588504,0
-0.965050535,2.084508554,0
0.351309008,1.252191267,0
0.696005156,5.631248558999999,1
-0.000688942,5.389704212000001,0
-0.617980526,4.883251593,0
3.737359776,4.41935492,1
-0.289343351,2.432596159,0
-0.23782432300000034,7.278912677,1
-1.214743766,2.078306754,0
1.929703873,8.342192663999999,1
-0.853979985,1.974294495,0
0.963775569,7.4919022889999995,1
1.83213179,6.2471910170000005,1
1.215533096,5.750448371,1
-0.46405252799999996,3.0343932110000003,0
2.638937342,5.043588504000001,1
-0.43944997799999996,3.853693815,0
